input size,brute force - time taken,brute force - number operations,select - time taken,select - number operations
756,1.2865,228809,0.031,4538
759,1.311,227354,0.0235,4477
762,1.3025,225007,0.039,5069
765,1.3255,226825,0.029,4838
768,1.2635,230497,0.031,4785
771,1.336,237873,0.047,4947
774,1.273,227975,0.024,4524
777,1.3255,234058,0.0245,4957
780,1.3765,238110,0.0375,5254
783,1.391,239446,0.0075,5323
786,1.4,242661,0.056,4506
789,1.4205,246437,0.016,5184
792,1.469,240937,0,4936
795,1.4875,248987,0.056,5327
798,1.4995,243673,0.024,5010
801,1.5605,255136,0.031,5070
804,1.5005,252816,0.0495,5150
807,1.4895,249494,0.0495,4902
810,1.488,256923,0.046,4635
813,1.4615,251512,0.054,5141
816,1.489,259472,0.039,5497
819,1.573,255899,0.0245,5224
822,1.5705,256447,0.023,5232
825,1.553,257590,0.0385,5216
828,1.614,265498,0.0385,5378
831,1.664,271697,0.0395,5154
834,1.6085,262593,0.055,4776
837,1.681,272594,0.0475,4885
840,1.6735,269899,0.025,5361
843,1.679,275275,0.071,5539
846,1.7825,281507,0.0085,5069
849,1.748,278341,0.079,4857
852,2.2555,286057,0.0695,5984
855,1.88,275974,0.0505,5452
858,1.823,279686,0.039,5486
861,1.8865,291781,0.016,5629
864,1.948,290303,0.047,6037
867,1.838,287444,0.047,5159
870,2.1165,280816,0.0345,5676
873,2.017,289988,0.0655,5907
876,2.279,291107,0.0665,6291
879,1.9935,291415,0.0335,5333
882,2.492,292500,0.0475,5637
885,2.4465,296286,0.0535,5875
888,2.192,297468,0.0735,5977
891,2.226,292755,0.046,5592
894,2.253,311367,0.077,5842
897,2.132,304751,0.097,5126
900,2.2585,304578,0.027,5712
903,2.2235,303425,0.0315,5234
906,2.189,306880,0.0485,5819
909,2.2535,305543,0.0705,5715
912,2.2865,316249,0.0725,6475
915,2.3085,313371,0.0265,5171
918,2.311,327053,0.063,5889
921,2.1535,310374,0.0485,5642
924,2.387,325079,0.075,6816
927,2.1865,313499,0.109,5565
930,2.44,332766,0.06,6029
933,2.4475,331738,0.043,6027
936,2.3425,322005,0.0835,5919
939,2.2895,324264,0.042,5961
942,2.35,335570,0.0335,6187
945,2.2975,333264,0.0755,6415
948,2.3465,330873,0.056,5917
951,2.472,340016,0.0395,6802
954,2.3435,331276,0.0655,5563
957,2.362,333799,0.025,5664
960,2.4955,348608,0.0315,6118
963,2.32,343563,0.09,6079
966,2.5175,351890,0.0335,6273
969,2.3945,352476,0.065,6212
972,2.4275,354828,0.05,7188
975,2.385,340740,0.0155,6106
978,2.4625,343451,0.02,5661
981,2.2695,346993,0.0525,6051
984,2.302,350728,0.0565,6062
987,2.364,360273,0.018,6780
990,2.318,369886,0.0815,7225
993,2.2525,364673,0.1045,6531
996,2.3705,366485,0.051,6307
