input size,brute force - time taken,brute force - number operations,select - time taken,select - number operations
786,1.871,308282,0.0505,5086
789,1.88,308394,0.0315,5423
792,1.917,314529,0.033,5058
795,1.9505,314395,0.04,5135
798,1.9685,323902,0.0335,5566
801,1.907,315422,0.0485,5236
804,1.947,323072,0.0605,5186
807,1.9875,320273,0.038,5665
810,2.0145,331656,0.032,4905
813,2.0265,331193,0.043,5339
816,2.001,328461,0.0455,4855
819,2.077,329597,0.0395,5203
822,2.0075,333078,0.0435,5696
825,1.993,330921,0.052,5811
828,2.0905,339029,0.035,5544
831,2.1585,343283,0.027,5155
834,2.0735,339571,0.044,5768
837,2.2085,355893,0.03,5459
840,2.2265,355768,0.048,5758
843,2.1425,357986,0.053,5565
846,2.2595,367372,0.0285,5300
849,2.236,360490,0.026,6055
852,2.242,360115,0.0295,6239
855,2.24,369020,0.0325,5335
858,2.2625,358894,0.0325,6366
861,2.326,367309,0.037,6365
864,2.1925,367151,0.066,6043
867,2.332,378533,0.036,5901
870,2.306,375930,0.0545,5599
873,2.3395,377252,0.0335,5470
876,2.2425,369706,0.056,5811
879,2.3945,389219,0.033,5689
882,2.418,388787,0.0345,5663
885,2.341,384946,0.044,6763
888,2.4105,395869,0.0515,5179
891,2.4495,391761,0.0695,5397
894,2.482,410160,0.044,6070
897,2.4255,394069,0.034,6044
900,2.486,399575,0.031,6200
903,2.4725,398140,0.042,6392
906,2.516,411511,0.059,5765
909,2.541,411336,0.058,6099
912,2.5225,406786,0.035,6022
915,2.626,428028,0.0555,6301
918,2.608,423155,0.049,5770
921,2.6275,417510,0.0495,6135
924,2.525,415185,0.0415,6455
927,2.5995,427159,0.049,6038
930,2.6715,431107,0.0565,5967
933,2.665,442348,0.0785,6691
936,2.687,440622,0.047,5524
939,2.6235,432629,0.045,6318
942,2.6895,433062,0.054,6512
945,2.7755,444327,0.042,6307
948,2.86,455022,0.0325,6951
951,2.8115,445204,0.041,6717
954,2.7285,446913,0.0505,6850
957,2.7605,450466,0.042,6521
960,2.7085,448046,0.073,6867
963,2.792,461274,0.044,6190
966,2.875,471754,0.024,6325
969,2.7925,462432,0.0405,6777
972,2.8765,472655,0.03,6848
975,2.8755,474903,0.053,6838
978,2.826,467512,0.0505,6626
981,2.86,477185,0.084,6361
984,2.882,478136,0.0665,7126
987,2.8945,477225,0.041,6718
990,2.9715,493164,0.051,6774
993,2.9635,488241,0.0535,6817
996,2.978,490405,0.0595,6920
